"filename", "language", "JavaScript", "JSON", "JavaScript React", "SCSS", "comment", "blank", "total"
"c:\Users\mcpiv\Learning\React\social-network\src\App.js", "JavaScript", 68, 0, 0, 0, 0, 10, 78
"c:\Users\mcpiv\Learning\React\social-network\src\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\mcpiv\Learning\React\social-network\src\Themes.json", "JSON", 0, 17, 0, 0, 0, 0, 17
"c:\Users\mcpiv\Learning\React\social-network\src\components\CreateTheme\CreateTheme.jsx", "JavaScript React", 0, 0, 32, 0, 0, 4, 36
"c:\Users\mcpiv\Learning\React\social-network\src\components\CreateTheme\SaveButton\SaveButton.jsx", "JavaScript React", 0, 0, 17, 0, 0, 1, 18
"c:\Users\mcpiv\Learning\React\social-network\src\components\CustomTheme\CustomTheme.jsx", "JavaScript React", 0, 0, 7, 0, 0, 2, 9
"c:\Users\mcpiv\Learning\React\social-network\src\components\FriendsBar\FriendDiv\FriendDiv.jsx", "JavaScript React", 0, 0, 12, 0, 0, 6, 18
"c:\Users\mcpiv\Learning\React\social-network\src\components\FriendsBar\FriendsBar.jsx", "JavaScript React", 0, 0, 27, 0, 0, 6, 33
"c:\Users\mcpiv\Learning\React\social-network\src\components\LoadingSpinner\LoadingSpinner.jsx", "JavaScript React", 0, 0, 5, 0, 0, 2, 7
"c:\Users\mcpiv\Learning\React\social-network\src\components\Navbar\FriendRequestsDropdown\FriendRequestsDropdown.jsx", "JavaScript React", 0, 0, 38, 0, 0, 8, 46
"c:\Users\mcpiv\Learning\React\social-network\src\components\Navbar\Navbar.jsx", "JavaScript React", 0, 0, 52, 0, 0, 8, 60
"c:\Users\mcpiv\Learning\React\social-network\src\components\Navbar\SearchBar\PeopleDropdown\PeopleDropdown.jsx", "JavaScript React", 0, 0, 14, 0, 0, 5, 19
"c:\Users\mcpiv\Learning\React\social-network\src\components\Navbar\SearchBar\SearchBar.jsx", "JavaScript React", 0, 0, 33, 0, 0, 5, 38
"c:\Users\mcpiv\Learning\React\social-network\src\components\Navbar\SettingsDropdown\SettingsDropdown.jsx", "JavaScript React", 0, 0, 23, 0, 0, 3, 26
"c:\Users\mcpiv\Learning\React\social-network\src\components\NewPost\FriendsList\FriendsList.jsx", "JavaScript React", 0, 0, 12, 0, 0, 4, 16
"c:\Users\mcpiv\Learning\React\social-network\src\components\NewPost\NewPost.jsx", "JavaScript React", 0, 0, 138, 0, 0, 19, 157
"c:\Users\mcpiv\Learning\React\social-network\src\components\PostsContainer\Post\Comments\Comments.jsx", "JavaScript React", 0, 0, 71, 0, 0, 8, 79
"c:\Users\mcpiv\Learning\React\social-network\src\components\PostsContainer\Post\Post.jsx", "JavaScript React", 0, 0, 124, 0, 0, 18, 142
"c:\Users\mcpiv\Learning\React\social-network\src\components\PostsContainer\Post\PostForm\PostForm.jsx", "JavaScript React", 0, 0, 43, 0, 0, 8, 51
"c:\Users\mcpiv\Learning\React\social-network\src\components\PostsContainer\PostsContainer.jsx", "JavaScript React", 0, 0, 75, 0, 0, 12, 87
"c:\Users\mcpiv\Learning\React\social-network\src\components\ProfileBar\ProfileBar.jsx", "JavaScript React", 0, 0, 108, 0, 0, 16, 124
"c:\Users\mcpiv\Learning\React\social-network\src\components\RegistrationForm\RegistrationForm.jsx", "JavaScript React", 0, 0, 100, 0, 0, 14, 114
"c:\Users\mcpiv\Learning\React\social-network\src\components\SignInForm\SignInForm.jsx", "JavaScript React", 0, 0, 28, 0, 0, 7, 35
"c:\Users\mcpiv\Learning\React\social-network\src\components\Theme\Theme.jsx", "JavaScript React", 0, 0, 10, 0, 0, 2, 12
"c:\Users\mcpiv\Learning\React\social-network\src\index.js", "JavaScript", 17, 0, 0, 0, 3, 6, 26
"c:\Users\mcpiv\Learning\React\social-network\src\index.scss", "SCSS", 0, 0, 0, 1207, 6, 252, 1465
